zipcode,Median income,Median home value,Less than High School Diploma,High School Graduate,Associate degree,Bachelor degree,Master degree,Professional school degree,Doctorate degree,Unemployment rate,Population Density
10001,81671,650200,0.08,0.19,0.03,0.38,0.21,0.07,0.03,0.26,33959
10002,33218,535600,0.36,0.31,0.04,0.21,0.06,0.02,0.01,0.45,92573
10003,92540,817700,0.04,0.16,0.02,0.43,0.21,0.09,0.04,0.26,97188
10004,129313,894200,0.02,0.16,0.04,0.42,0.22,0.13,0.02,0.12,5519
10005,124670,1000001,0.023,0.083,0.007,0.478,0.239,0.129,0.041,0.1,97048
10006,119274,714300,0.01,0.11,0.06,0.41,0.24,0.11,0.06,0.06,32796
10007,216037,1000001,0.06,0.15,0.02,0.35,0.24,0.12,0.06,0.22,42751
10009,59929,672800,0.16,0.23,0.03,0.36,0.14,0.05,0.02,0.33,99492
10010,97955,746200,0.03,0.18,0.05,0.4,0.2,0.11,0.03,0.3,81487
10011,104238,914500,0.05,0.15,0.03,0.4,0.22,0.1,0.04,0.22,77436
10012,86594,1000001,0.07,0.16,0.02,0.42,0.18,0.08,0.08,0.21,74517
10013,83725,1000001,0.19,0.18,0.01,0.34,0.18,0.07,0.03,0.32,50154
10014,108483,947300,0.02,0.14,0.02,0.47,0.21,0.1,0.04,0.18,56119
10016,105324,759600,0.03,0.14,0.03,0.44,0.21,0.12,0.03,0.21,101814
10017,100652,637100,0.02,0.14,0.03,0.43,0.24,0.09,0.04,0.17,51775
10018,104635,1000001,0.08,0.19,0.04,0.39,0.21,0.08,0.01,0.17,16251
10019,84424,808600,0.08,0.19,0.03,0.37,0.21,0.09,0.03,0.23,63042
10020,,,None,None,None,None,None,None,None,,
10021,107907,1000001,0.03,0.14,0.03,0.38,0.24,0.12,0.05,0.28,112711
10022,109019,866100,0.02,0.15,0.02,0.43,0.21,0.13,0.04,0.27,73158
10023,103534,872500,0.03,0.15,0.02,0.34,0.28,0.12,0.05,0.29,124357
10024,109956,1000001,0.05,0.16,0.02,0.34,0.25,0.13,0.05,0.27,69106
10025,68516,934600,0.1,0.19,0.03,0.29,0.24,0.08,0.06,0.34,125860
10026,43107,602400,0.17,0.38,0.05,0.21,0.14,0.03,0.02,0.4,102315
10027,37872,716100,0.18,0.33,0.05,0.2,0.16,0.03,0.06,0.43,68513
10028,104638,1000001,0.02,0.13,0.03,0.4,0.24,0.13,0.04,0.23,143683
10029,31888,787000,0.26,0.38,0.05,0.18,0.08,0.03,0.01,0.43,92116
10030,31925,509000,0.23,0.425,0.057,0.183,0.079,0.02,0.007,0.39,96790
10031,37655,369800,0.27,0.37,0.05,0.18,0.1,0.02,0.01,0.36,86722
10032,34568,334900,0.36,0.34,0.04,0.18,0.07,0.01,0.01,0.38,87199
10033,41556,422100,0.3,0.33,0.05,0.18,0.08,0.03,0.03,0.35,89201
10034,41171,354700,0.29,0.35,0.05,0.19,0.1,0.02,0.01,0.33,34544
10035,24533,445900,0.36,0.37,0.04,0.14,0.06,0.01,0.02,0.52,24329
10036,66599,810300,0.06,0.24,0.03,0.38,0.2,0.06,0.02,0.22,55745
10037,37341,260200,0.132,0.435,0.085,0.199,0.09,0.052,0.006,0.44,65973
10038,66074,616300,0.17,0.21,0.02,0.34,0.15,0.08,0.02,0.31,68214
10039,33595,352300,0.23,0.423,0.082,0.167,0.081,0.009,0.007,0.41,52965
10040,42721,317300,0.29,0.32,0.04,0.21,0.1,0.02,0.02,0.37,111184
10044,83066,580400,0.14,0.27,0.03,0.21,0.18,0.08,0.1,0.42,48251
10065,115519,1000001,0.02,0.16,0.03,0.39,0.22,0.13,0.06,0.26,83533
10069,170630,966600,0,0.1,0.03,0.44,0.27,0.14,0.03,0.21,49908
10075,102941,805300,0.02,0.14,0.03,0.43,0.22,0.12,0.04,0.27,141546
10103,,,None,None,None,None,None,None,None,,314
10110,,,0,0.5,0,0,0,0,0.5,0.5,
10111,,,None,None,None,None,None,None,None,,
10112,,,None,None,None,None,None,None,None,,
10115,,,None,None,None,None,None,None,None,,
10119,,,None,None,None,None,None,None,None,,5592
10128,96296,1000001,0.04,0.15,0.03,0.4,0.22,0.12,0.04,0.26,128441
10152,,,None,None,None,None,None,None,None,,
10153,,,None,None,None,None,None,None,None,,
10154,,,None,None,None,None,None,None,None,,
10162,168667,,0.01,0.03,0.03,0.6,0.18,0.01,0.13,0.21,148228
10165,,,None,None,None,None,None,None,None,,397
10167,,,None,None,None,None,None,None,None,,
10168,,,None,None,None,None,None,None,None,,
10169,,,None,None,None,None,None,None,None,,
10170,,,None,None,None,None,None,None,None,,208
10171,,,None,None,None,None,None,None,None,,
10172,,,None,None,None,None,None,None,None,,
10173,,,None,None,None,None,None,None,None,,421
10174,,,None,None,None,None,None,None,None,,
10177,,,None,None,None,None,None,None,None,,
10199,,,None,None,None,None,None,None,None,,349
10271,,,None,None,None,None,None,None,None,,
10278,,,None,None,None,None,None,None,None,,
10279,,,None,None,None,None,None,None,None,,
